driver,model,input_cost_per_token,input_cost_per_cached_token,output_cost_per_token,pricing_source_url
,gpt-5.3-chat-latest,0.00000175,0.000000175,0.000014,https://openai.com/api/pricing/
,gpt-5.3-codex,0.00000175,0.000000175,0.000014,https://openai.com/api/pricing/
,o4-mini-2025-04-16,0.000004,0.000001,0.000016,https://openai.com/api/pricing/
,gpt-4.1-2025-04-14,0.000003,0.00000075,0.000012,https://openai.com/api/pricing/
,gpt-4.1-mini-2025-04-14,0.0000008,0.0000002,0.0000032,https://openai.com/api/pricing/
,gpt-4.1-nano-2025-04-14,0.0000002,0.00000005,0.0000008,https://openai.com/api/pricing/
,gpt-4o-2024-08-06,0.00000375,0.000001875,0.000015,https://openai.com/api/pricing/
,gpt-4o-mini-2024-07-18,0.0000003,0.00000015,0.0000012,https://openai.com/api/pricing/
# Anthropic - https://platform.claude.com/docs/en/about-claude/pricing
# Bedrock IDs from https://platform.claude.com/docs/en/about-claude/models/overview
# Bedrock standard pricing matches direct API (verified against https://aws.amazon.com/bedrock/pricing/).
,claude-3-5-haiku-20241022,0.0000008,0.00000008,0.000004,https://platform.claude.com/docs/en/about-claude/pricing
,claude-3-7-sonnet-20250219,0.000003,0.0000003,0.000015,https://platform.claude.com/docs/en/about-claude/pricing
,claude-3-haiku-20240307,0.00000025,0.00000003,0.00000125,https://platform.claude.com/docs/en/about-claude/pricing
,claude-3-opus-20240229,0.000015,0.0000015,0.000075,https://platform.claude.com/docs/en/about-claude/pricing
,claude-haiku-4-5-20251001,0.000001,0.0000001,0.000005,https://platform.claude.com/docs/en/about-claude/pricing
,claude-opus-4-1-20250805,0.000015,0.0000015,0.000075,https://platform.claude.com/docs/en/about-claude/pricing
,claude-opus-4-20250514,0.000015,0.0000015,0.000075,https://platform.claude.com/docs/en/about-claude/pricing
,claude-opus-4-5-20251101,0.000005,0.0000005,0.000025,https://platform.claude.com/docs/en/about-claude/pricing
,claude-opus-4-6,0.000005,0.0000005,0.000025,https://platform.claude.com/docs/en/about-claude/pricing
,claude-sonnet-4-20250514,0.000003,0.0000003,0.000015,https://platform.claude.com/docs/en/about-claude/pricing
,claude-sonnet-4-5-20250929,0.000003,0.0000003,0.000015,https://platform.claude.com/docs/en/about-claude/pricing
,claude-sonnet-4-6,0.000003,0.0000003,0.000015,https://platform.claude.com/docs/en/about-claude/pricing
,anthropic.claude-haiku-4-5-20251001-v1:0,0.000001,0.0000001,0.000005,https://platform.claude.com/docs/en/about-claude/pricing
,anthropic.claude-opus-4-6-v1,0.000005,0.0000005,0.000025,https://platform.claude.com/docs/en/about-claude/pricing
,anthropic.claude-sonnet-4-6,0.000003,0.0000003,0.000015,https://platform.claude.com/docs/en/about-claude/pricing
# Google - https://ai.google.dev/gemini-api/docs/pricing
# Vertex AI pricing from https://cloud.google.com/vertex-ai/generative-ai/pricing
,gemini-2.0-flash,0.0000001,0.000000025,0.0000004,https://ai.google.dev/gemini-api/docs/pricing
vertex,gemini-2.0-flash,0.00000015,,0.0000006,https://cloud.google.com/vertex-ai/generative-ai/pricing
,gemini-2.0-flash-lite,0.000000075,,0.0000003,https://ai.google.dev/gemini-api/docs/pricing
,gemini-2.5-flash,0.0000003,0.00000003,0.0000025,https://ai.google.dev/gemini-api/docs/pricing
,gemini-2.5-flash-lite,0.0000001,0.00000001,0.0000004,https://ai.google.dev/gemini-api/docs/pricing
,gemini-2.5-flash-lite-preview,0.0000001,0.00000001,0.0000004,https://ai.google.dev/gemini-api/docs/pricing
,gemini-2.5-pro,0.00000125,0.000000125,0.00001,https://ai.google.dev/gemini-api/docs/pricing
,gemini-3-flash-preview,0.0000005,0.00000005,0.000003,https://ai.google.dev/gemini-api/docs/pricing
,gemini-3.1-flash-lite-preview,0.00000025,0.000000025,0.0000015,https://ai.google.dev/gemini-api/docs/pricing
,gemini-3.1-pro-preview,0.000002,0.0000002,0.000012,https://ai.google.dev/gemini-api/docs/pricing
